for_brand,for_lens_model,with_adapter,zooms_primes,speical_designs,format_comatibility,,,,,,,,,,,,,
Canon,T-Mount (T-thread),Canon FD,,,,,,,,,,,,,,,,
Canon,T-Mount (T-thread),Canon EF,,,,,,,,,,,,,,,,
Nikon,Nikon F,,,,,,,,,,,,,,,,,
Minolta,Minolta MD,,,,,,,,,,,,,,,,,
"Sony, Minolta",Sony Alpha / Minolta Maxxum,,,,,,,,,,,,,,,,,
Nikon,T-Mount (T-thread),Nikon F,,,,,,,,,,,,,,,,
Olympus,Olympus OM,,,,,,,,,,,,,,,,,
Pentax,Pentax K,,,,,,,,,,,,,,,,,
Pentax,Pentax Screw Mount,,,,,,,,,,,,,,,,,
"Contax, Yashica",Contax,,,,,,,,,,,,,,,,,
Olympus,Olympus,,,,,,,,,,,,,,,,,
Universal,Universal Screw Mount,,,,,,,,,,,,,,,,,
Universal,T-Mount,,,,,,,,,,,,,,,,,
Canon,T-Mount (T-thread),Canon FD,,,,,,,,,,,,,,,,
Canon,T-Mount (T-thread),Canon EF,,,,,,,,,,,,,,,,
Contax / Yashica,T-Mount,,,,,,,,,,,,,,,,,
Nikon,T-Mount (T-thread),Nikon F,,,,,,,,,,,,,,,,
Universal,T-Mount,,,,,,,,,,,,,,,,,
Canon,Canon EF,,,,,,,,,,,,,,,,,
Nikon,Nikon F,,,,,,,,,,,,,,,,,
None,None,,,,,,,,,,,,,,,,,
None,None,,,,,,,,,,,,,,,,,
None,None,,,,,,,,,,,,,,,,,
Canon,Canon EF,,,,,,,,,,,,,,,,,
Canon,Canon FD,,,,,,,,,,,,,,,,,
Nikon,Copal #0,,,,,,,,,,,,,,,,,
Samsung,Samsung NX,,,,,,,,,,,,,,,,,
Hasselblad,Hasselblad V,,,,,,,,,,,,,,,,,
Leica,Leica M,,,,,,,,,,,,,,,,,
Leica,Leica R,,,,,,,,,,,,,,,,,
Minolta,Minolta MD,,,,,,,,,,,,,,,,,
