BRAND,SKU_NO,SEQNUM,CAPTION,FILE_NAME,THUMBNAIL,FULL_URL
Axler,8479,4,,IMG_605939.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_605939.jpg
Axler,8479,5,,IMG_605940.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_605940.jpg
Axler,8479,6,,IMG_605941.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_605941.jpg
Axler,8479,7,Shown in Use,IMG_605942.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_605942.jpg
Axler,8480,1,Alternate Setup,IMG_607302.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_607302.jpg
Axler,8480,2,,IMG_607303.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_607303.jpg
Axler,8480,3,,IMG_607304.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_607304.jpg
Axler,8480,4,,IMG_607305.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_607305.jpg
Axler,8480,5,,IMG_607306.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_607306.jpg
Axler,8480,6,,IMG_607307.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2000x2000/IMG_607307.jpg
Axler,8480,7,Shown in Use,IMG_607939.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_607939.jpg
Axler,9645,1,,IMG_677818.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_677818.jpg
Axler,9645,2,Bottom View,IMG_677819.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_677819.jpg
Axler,9645,3,,IMG_677820.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_677820.jpg
Axler,9645,4,Lock And Mount Options,IMG_677821.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_677821.jpg
Axler,9645,5,Detail,IMG_677822.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_677822.jpg
Axler,9645,6,Case,IMG_677823.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_677823.jpg
Axler,9645,7,Suggested Use,IMG_677824.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_677824.jpg
Axler,9657,1,,IMG_627357.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_627357.jpg
Axler,9657,2,,IMG_627319.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_627319.jpg
Axler,9657,3,Detail,IMG_627358.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_627358.jpg
Axler,9657,4,Case,IMG_627359.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_627359.jpg
Axler,9657,5,Suggested Use,IMG_627360.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_627360.jpg
Axler,9669,1,,IMG_574425.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_574425.jpg
Axler,9669,2,,IMG_574426.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_574426.jpg
Axler,9669,3,Bottom View,IMG_574427.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_574427.jpg
Axler,9669,4,Sliding Gimbal Handle,IMG_574428.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_574428.jpg
Axler,9669,5,Before-After Plate Adjustment,IMG_574429.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_574429.jpg
Axler,9669,6,Lateral Plate Adjustment,IMG_574430.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_574430.jpg
Axler,9669,7,Plate View,IMG_574431.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_574431.jpg
Axler,9669,8,Case,IMG_574432.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_574432.jpg
Axler,9669,9,Shown in Use,IMG_574433.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_574433.jpg
Axler,9669,10,Shown in Use,IMG_574434.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_574434.jpg
Axler,10286,1,,IMG_712756.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_712756.jpg
Axler,10286,2,,IMG_712757.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_712757.jpg
Axler,10286,3,,IMG_712758.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_712758.jpg
Axler,10286,4,,IMG_712759.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_712759.jpg
Axler,10286,5,,IMG_712760.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_712760.jpg
Axler,10286,6,In Use Illustration,IMG_712761.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_712761.jpg
Axler,3213,1,Feature View,IMG_472644.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_472644.jpg
Axler,3213,2,Bag,IMG_472645.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_472645.jpg
Axler,3213,3,Shown in Use,IMG_472646.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_472646.jpg
Axler,5492,1,Alternate View,IMG_492580.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_492580.jpg
Axler,5492,2,Alternate View,IMG_492581.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_492581.jpg
Axler,5492,3,Alternate View,IMG_492582.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_492582.jpg
Axler,5492,4,Alternate View,IMG_492583.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_492583.jpg
Axler,5492,5,Alternate View,IMG_492584.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_492584.jpg
Axler,5492,6,Alternate View,IMG_492585.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_492585.jpg
Axler,5492,7,Case,IMG_492586.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_492586.jpg
Axler,5492,8,In Use View 1,IMG_492587.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_492587.jpg
Axler,5492,9,In Use View 2,IMG_492588.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_492588.jpg
